,Anho,Ciclo,Cod.Asign,Asignatura,Cod.Curso,Aprobado,1P,2P,RecursaConFirma,Taller,DerechoAFinal,Primer.Rec,Segundo.Rec,id_anony,Calificacion
260,2017,1,13008,CALCULO 2,2,True,22,23,True,0,True,0,0,es_6123,4.0
261,2017,1,13008,CALCULO 2,2,True,14,22,True,0,True,0,0,es_6124,4.0
262,2017,1,13008,CALCULO 2,2,True,14,20,True,0,True,0,0,es_5413,2.0
263,2017,1,13008,CALCULO 2,2,False,16,22,True,0,True,0,0,es_6128,0.0
264,2017,1,13008,CALCULO 2,2,False,16,2,True,0,True,0,0,es_5416,0.0
265,2017,1,13008,CALCULO 2,2,True,20,26,True,0,True,0,0,es_6130,3.0
266,2017,1,13008,CALCULO 2,2,False,19,0,False,0,False,0,0,es_4838,0.0
267,2017,1,13008,CALCULO 2,2,True,21,17,True,0,True,0,0,es_6134,3.0
268,2017,1,13008,CALCULO 2,2,True,0,0,True,0,True,0,0,es_5418,2.0
269,2017,1,13008,CALCULO 2,2,True,18,19,True,0,True,0,0,es_6135,3.0
270,2017,1,13008,CALCULO 2,2,True,22,24,True,0,True,0,0,es_6136,5.0
271,2017,1,13008,CALCULO 2,2,True,20,0,True,0,True,0,0,es_5420,2.0
272,2017,1,13008,CALCULO 2,2,False,15,0,False,0,False,0,0,es_5421,0.0
273,2017,1,13008,CALCULO 2,2,False,24,19,True,0,True,0,0,es_5422,0.0
274,2017,1,13008,CALCULO 2,2,True,16,16,True,0,True,0,0,es_6138,4.0
275,2017,1,13008,CALCULO 2,2,True,22,20,True,0,True,0,0,es_6147,4.0
277,2017,1,13008,CALCULO 2,2,True,23,4,True,0,True,0,0,es_5429,4.0
278,2017,1,13008,CALCULO 2,2,True,21,21,True,0,True,0,0,es_6154,5.0
279,2017,1,13008,CALCULO 2,2,True,0,0,True,0,True,0,0,es_4849,3.0
280,2017,1,13008,CALCULO 2,2,False,19,3,False,0,False,0,0,es_5433,0.0
281,2017,1,13008,CALCULO 2,2,True,24,23,True,0,True,0,0,es_6159,5.0
282,2017,1,13008,CALCULO 2,2,True,20,19,True,0,True,0,0,es_5437,4.0
283,2017,1,13008,CALCULO 2,2,False,17,0,False,0,False,0,0,es_6161,0.0
284,2017,1,13008,CALCULO 2,2,False,20,0,False,0,False,0,0,es_5438,0.0
285,2017,1,13008,CALCULO 2,2,False,9,7,False,0,False,0,0,es_6162,0.0
286,2017,1,13008,CALCULO 2,2,True,14,23,True,0,True,0,0,es_6163,2.0
287,2017,1,13008,CALCULO 2,2,True,24,11,True,0,True,0,0,es_4852,4.0
289,2017,1,13008,CALCULO 2,2,False,15,0,False,0,False,0,0,es_6168,0.0
290,2017,1,13008,CALCULO 2,2,True,20,23,True,0,True,0,0,es_6173,5.0
291,2017,1,13008,CALCULO 2,2,True,24,23,True,0,True,0,0,es_6176,5.0
293,2017,1,13008,CALCULO 2,2,True,18,9,True,0,True,0,0,es_6184,4.0
294,2017,1,13008,CALCULO 2,2,True,23,14,True,0,True,0,0,es_4857,4.0
295,2017,1,13008,CALCULO 2,2,True,13,9,True,0,True,0,0,es_5453,3.0
296,2017,1,13008,CALCULO 2,2,True,19,19,True,0,True,0,0,es_6198,4.0
297,2017,1,13008,CALCULO 2,2,True,23,14,True,0,True,0,0,es_6202,3.0
298,2017,1,13008,CALCULO 2,2,True,20,10,True,0,True,0,0,es_6207,3.0
299,2017,1,13008,CALCULO 2,2,True,17,0,True,0,True,0,0,es_6211,4.0
300,2017,1,13008,CALCULO 2,2,True,20,24,True,0,True,0,0,es_6212,4.0
301,2017,1,13008,CALCULO 2,2,True,20,15,True,0,True,0,0,es_5459,2.0
302,2017,1,13008,CALCULO 2,2,True,13,5,True,0,True,0,0,es_5460,4.0
