,Indice,id_anony,Anho,Cod.Car.Sec,Nota.Final,Aprobado,1P,2P,Taller,Firma,Derecho a Recuperatorio,Derecho a Final,Primer.Rec,Segundo.Rec,Primer Intento,Segundo Intento,Calificacion,Aprobo
17050,1496.0,es_9807,2019,CIV-PLS13 ,1F-1,N,10,22,8,40,True,True,0,0,1.0,0.0,1.0,False
17051,1497.0,es_7029,2019,ELE-PLS13 ,,N,9,8,9,26,True,False,40,0,0.0,0.0,0.0,False
17052,1498.0,es_7698,2019,CIV-PLS13 ,,N,3,19,5,27,False,False,30,0,0.0,0.0,0.0,False
17055,1501.0,es_7510,2019,CIV-PLS13 ,,N,10,16,4,30,False,False,0,0,0.0,0.0,0.0,False
17056,1502.0,es_9808,2019,CIV-PLS13 ,1F-3,S,17,16,9,42,True,True,0,0,3.0,0.0,3.0,True
17057,1503.0,es_9731,2019,CIV-PLS13 ,1F-1,N,18,14,10,42,True,True,0,0,1.0,0.0,1.0,False
17058,1504.0,es_9809,2019,MCT-PLS13 ,,N,23,26,9,58,True,True,0,0,0.0,0.0,0.0,False
17059,1505.0,es_9810,2019,CIV-PLS13 ,1F-1,N,24,21,5,50,False,False,0,0,1.0,0.0,1.0,False
17062,1508.0,es_7035,2019,MCT-PLS13 ,1F-1,N,11,22,2,35,False,False,0,0,1.0,0.0,1.0,False
17063,1509.0,es_7826,2019,CGF-PLS13 ,1F-1,N,13,16,8,37,True,True,0,0,1.0,0.0,1.0,False
