Anho,Ciclo,Cod.Asign,Asignatura,Aprobado,1P,2P,Taller,RecursaConFirma,DerechoAFinal,Primer.Rec,Segundo.Rec,id_anony,Calificacion
2017,1,13008,CALCULO 2,1,13,9,0,1,1,0,0,es_5453,3.0
2017,1,13008,CALCULO 2,1,19,19,0,1,1,0,0,es_6198,4.0
2017,1,13008,CALCULO 2,1,23,14,0,1,1,0,0,es_6202,3.0
2017,1,13008,CALCULO 2,1,20,10,0,1,1,0,0,es_6207,3.0
2017,1,13008,CALCULO 2,1,17,0,0,1,1,0,0,es_6211,4.0
2017,1,13008,CALCULO 2,1,20,24,0,1,1,0,0,es_6212,4.0
2017,1,13008,CALCULO 2,1,20,15,0,1,1,0,0,es_5459,2.0
2017,1,13008,CALCULO 2,1,13,5,0,1,1,0,0,es_5460,4.0
2017,1,13008,CALCULO 2,1,24,12,0,1,1,0,0,es_5461,4.0
2017,1,13008,CALCULO 2,1,23,9,0,1,1,0,0,es_5468,2.0
2017,1,13008,CALCULO 2,1,21,30,0,1,1,0,0,es_5470,5.0
2017,1,13008,CALCULO 2,0,16,3,0,0,0,0,0,es_6225,0.0
2017,1,13008,CALCULO 2,0,13,9,0,1,1,0,0,es_6226,1.0
2017,1,13008,CALCULO 2,1,23,31,0,1,1,0,0,es_5474,5.0
2017,1,13008,CALCULO 2,1,19,11,0,1,1,0,0,es_5475,4.0
2017,1,13008,CALCULO 2,1,24,12,0,1,1,0,0,es_5476,3.0
2017,1,13008,CALCULO 2,1,23,15,0,1,1,0,0,es_6230,3.0
2017,1,13008,CALCULO 2,1,17,8,0,1,1,0,0,es_5479,2.0
2017,1,13008,CALCULO 2,1,0,0,0,1,1,0,0,es_6233,2.0
2017,1,13008,CALCULO 2,1,24,30,0,1,1,0,0,es_6237,5.0
2017,1,13008,CALCULO 2,0,10,5,0,0,0,0,0,es_5482,0.0
2017,1,13008,CALCULO 2,1,17,17,0,1,1,0,0,es_5487,3.0
2017,1,13008,CALCULO 2,1,18,9,0,1,1,0,0,es_4878,5.0
2017,1,13008,CALCULO 2,1,23,14,0,1,1,0,0,es_5490,3.0
2017,1,13008,CALCULO 2,1,20,7,0,1,1,0,0,es_5492,2.0
2017,1,13008,CALCULO 2,1,19,9,0,1,1,0,0,es_5496,4.0
2017,1,13008,CALCULO 2,1,21,16,0,1,1,0,0,es_5497,2.0
2017,1,13008,CALCULO 2,1,12,14,0,1,1,0,0,es_5498,3.0
2017,1,13008,CALCULO 2,0,16,0,0,0,0,0,0,es_5500,0.0
2017,1,13008,CALCULO 2,1,22,21,0,1,1,0,0,es_6260,5.0
2017,1,13008,CALCULO 2,1,8,18,0,1,1,0,0,es_5503,3.0
2017,1,13008,CALCULO 2,0,20,0,0,0,0,0,0,es_4886,0.0
2017,1,13008,CALCULO 2,1,24,26,0,1,1,0,0,es_6262,5.0
2017,1,13008,CALCULO 2,0,17,4,0,1,1,0,0,es_4887,1.0
2017,1,13008,CALCULO 2,1,20,23,0,1,1,0,0,es_6270,4.0
2017,1,13008,CALCULO 2,0,20,17,0,1,1,0,0,es_5508,0.0
2017,1,13008,CALCULO 2,1,17,12,0,1,1,0,0,es_6272,2.0
2017,1,13008,CALCULO 2,0,22,15,0,1,1,0,0,es_6276,0.0
