1P,2P,Taller,Aprobado
10,7,3,0
6,9,6,0
7,14,6,0
9,14,3,0
9,13,7,0
9,12,2,0
10,13,4,0
7,11,2,0
12,6,6,0
10,13,3,0
11,19,5,0
14,19,5,0
8,8,6,0
13,25,6,0
7,9,4,0
7,22,3,0
11,11,6,0
16,13,6,0
13,28,4,1
16,15,4,0
14,19,2,0
4,17,2,0
5,17,2,0
19,16,2,0
12,20,5,0
9,8,2,0
6,9,4,0
12,19,7,0
6,9,5,0
9,14,6,0
8,12,3,0
8,14,3,0
8,8,3,0
16,8,4,0
10,23,3,1
8,7,5,0
12,22,5,1
9,13,5,0
8,27,3,1
13,20,8,0
13,19,6,1
10,22,4,1
6,9,4,0
12,22,5,0
8,8,5,0
11,16,3,0
12,9,5,0
16,22,4,1
6,16,4,0
10,27,5,0
10,21,4,0
9,12,2,0
12,14,4,0
13,26,4,1
7,11,6,0
18,25,6,1
16,25,4,0
7,16,2,0
10,17,3,0
18,22,6,0
7,19,4,0
12,22,4,0
9,17,4,0
7,11,4,0
15,27,6,1
18,29,6,1
7,18,4,0
9,12,5,0
11,14,3,0
10,20,7,0
9,12,5,0
7,13,7,0
5,12,4,0
7,14,5,0
11,12,3,0
8,12,5,0
12,18,5,0
14,17,3,0
10,14,3,0
10,11,6,0
2,13,4,0
22,12,4,0
19,4,6,0
14,12,7,0
15,9,4,0
6,12,5,0
0,18,7,0
12,14,4,0
10,14,5,0
4,18,4,0
9,18,8,0
7,12,5,0
7,11,3,0
16,25,8,1
19,12,7,0
19,19,4,0
15,23,7,1
13,7,4,0
16,10,6,0
7,13,7,0
15,15,7,1
21,21,5,0
14,21,5,0
3,15,6,0
0,17,4,0
10,19,3,0
5,12,6,0
17,0,2,0
21,12,4,1
12,21,6,1
17,27,4,1
13,11,7,0
13,13,7,0
5,10,3,0
15,20,7,1
4,18,5,0
17,27,7,1
6,9,4,0
21,21,7,0
18,12,6,1
15,16,6,1
15,21,7,0
20,25,4,1
14,4,3,0
14,20,5,0
14,12,4,0
6,13,4,0
17,17,4,1
12,7,4,0
8,14,6,0
8,14,3,0
14,18,3,0
18,17,6,0
8,12,3,0
4,14,2,0
14,10,5,0
15,12,3,0
4,14,6,0
8,18,7,0
9,11,5,0
12,16,3,0
7,12,6,0
21,19,6,1
7,15,6,0
14,10,5,0
11,21,5,0
13,15,5,0
17,18,4,1
9,21,5,1
13,13,6,0
10,22,4,1
